Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,,0.00472256824217368,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.9,1.84,3.55,4,5,5.45454545454545
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,0.114097346552109,0.325798377067964,0.39008127343332,0.971900415195857,2.42038779776014,6.04389086404814,9.60999131577118,15.0361154084109,23.86,41.2,45,49,54.6559590399494
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,0.491705679141589,0.646114016703792,1.59164126035832,2.19535973086144,4.63447508776537,5.84394209201256,7.37598495634886,9.45119062555304,10.18,11.23,12.5,14,15.2280267564417
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,,,,,,,,,,,,,
Andorra,ADO,Internet users (per 100 people),IT.NET.USER.P2,10.53883560922,,11.2604687170103,13.546412876439,26.8379543894637,37.6057662174867,48.9368469989479,70.87,70.04,78.53,81,81,86.4344246167258
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,0.105045562462262,0.136013867429868,0.270376745595134,0.370682065225727,0.464814617985909,1.1433668265595,1.90764750723428,3.2,4.6,6,10,14.776,16.9372101137398
Antigua and Barbuda,ATG,Internet users (per 100 people),IT.NET.USER.P2,6.48222573702907,8.89928551450583,12.5,17.2286487816884,24.2665437161785,34.7164029018124,62.6388691911313,70.06,75.03,74.2,80,82,83.7871674459974
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,7.0386830862178,9.78080728532407,10.8821243775325,11.9136965509954,16.0366841054923,17.7205833696065,20.9272021035896,25.9466329403819,28.1126234799907,34,45,51,55.8
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,1.30047002237784,1.63109466677715,1.9604050458212,4.57521722477781,4.8990085713054,5.25298335195804,5.63178777731609,6.02125339712607,6.21,15.3,25,32,39.1607915666556
Aruba,ABW,Internet users (per 100 people),IT.NET.USER.P2,15.4428229480349,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,46.7561156116738,52.6892664310395,,,,63,66,69.45,71.67,74.25,76,79.5,82.3495485010082
Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,33.7301329516915,39.1854501811114,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,79.8,81
Azerbaijan,AZE,Internet users (per 100 people),IT.NET.USER.P2,0.147757575623251,0.305564637615618,4.99971367812957,,,8.03037535616454,11.9921773343674,14.54,17.08,27.4,46,50,54.2
"Bahamas, The",BHS,Internet users (per 100 people),IT.NET.USER.P2,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.7482028146963
Bahrain,BHR,Internet users (per 100 people),IT.NET.USER.P2,6.15373254647607,15.0386342513918,18.0507208881153,21.5549449917804,21.4586805077435,21.3037335136591,28.2439524318043,32.91,51.95,53,55,77,88
Bangladesh,BGD,Internet users (per 100 people),IT.NET.USER.P2,0.0710394230507683,0.129807973947512,0.13992028850905,0.163877665498048,0.199036333744363,0.24163732563671,1,1.8,2.5,3.1,3.7,5,6.3
Barbados,BRB,Internet users (per 100 people),IT.NET.USER.P2,3.97367835457927,11.9364503383984,27.836322424146,39.6896271159532,49.8,56.0708546066945,63,64.7,66.5,68.7,70.2,71.7657,73.3298136924294
Belarus,BLR,Internet users (per 100 people),IT.NET.USER.P2,1.86039812615388,4.30061602151712,8.95097131467325,,,,16.2,19.7,23,27.43,31.8,39.6,46.9060058438776
Belgium,BEL,Internet users (per 100 people),IT.NET.USER.P2,29.4316916924341,31.2883955056566,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,78,82
Belize,BLZ,Internet users (per 100 people),IT.NET.USER.P2,5.96383530272428,,5.68425121358763,,5.7936168825996,9.21028860085089,10.4016781374062,10.86,11.31,11.73,14,18.7,25
Benin,BEN,Internet users (per 100 people),IT.NET.USER.P2,0.225247851473369,0.363417890016082,0.7029455951039,0.951327114915695,1.18254096518994,1.27103143947107,1.53785434624704,1.79,1.85,2.24,3.13,3.5,3.79770474077515
Bermuda,BMU,Internet users (per 100 people),IT.NET.USER.P2,42.9498600152711,47.5096998970623,52.0315973700393,56.5220121836337,60.9908670086326,65.4470657898838,69.8996551617012,74.3505940302669,82.3,83.25,84.21,88.336,91.2993045243401
Bhutan,BTN,Internet users (per 100 people),IT.NET.USER.P2,0.40094444691941,0.864628564215099,1.67580258375242,2.43691239949767,3.15698419613711,3.84710674490143,4.5183172581646,5.92,6.55,7.17,13.6,21,25.434348914861
Bolivia,BOL,Internet users (per 100 people),IT.NET.USER.P2,1.4427635847914,2.1204625341365,3.11719294696997,3.50859640072336,4.43992460120042,5.22758395663196,6.20067125473576,10.4992443168903,12.5,16.8,22.4,30,34.1884342305183
Bosnia and Herzegovina,BIH,Internet users (per 100 people),IT.NET.USER.P2,1.08296074971207,1.20052695129649,2.64826791361244,3.96503683387051,15.4689716227665,21.3267010007738,25.1223856852117,27.92,34.66,37.74,52,60,65.3560944772989
Botswana,BWA,Internet users (per 100 people),IT.NET.USER.P2,2.90266662177209,3.43088678702599,3.38592235064273,3.3451901740614,3.30488925316113,3.26255403605122,4.28993297515968,5.28,6.25,6.15,6,8,11.5
Brazil,BRA,Internet users (per 100 people),IT.NET.USER.P2,2.87068515854108,4.52849486902851,9.14942508560748,13.2075861035303,19.073672274442,21.022747248827,28.1783801797929,30.88,33.83,39.22,40.65,45,49.847999364427
Brunei Darussalam,BRN,Internet users (per 100 people),IT.NET.USER.P2,8.99628453448726,12.9177690823013,15.329879855735,19.5950032207342,29.7156041447864,36.4663919475782,42.1863491609307,44.68,46,49,53,56,60.2730650423193
Bulgaria,BGR,Internet users (per 100 people),IT.NET.USER.P2,5.37092346908696,7.6122977487982,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,51,55.1480978664466
Burkina Faso,BFA,Internet users (per 100 people),IT.NET.USER.P2,0.0770801689426014,0.157732464653607,0.200992597925001,0.373440303233526,0.400295285492178,0.469914488656657,0.632707564461829,0.75,0.92,1.13,2.4,3,3.72503491597675
Burundi,BDI,Internet users (per 100 people),IT.NET.USER.P2,0.077248447383456,0.106001245363203,0.118228412267794,0.201273196735924,0.349060461879596,0.542142865759056,0.657592590351907,0.7,0.81,0.9,1,1.11,1.21999994477793
Cabo Verde,CPV,Internet users (per 100 people),IT.NET.USER.P2,1.82244385164396,2.68533271272311,3.5187571749658,4.32488539053715,5.31883206957883,6.07408710659813,6.80891100753313,8.28321981953034,14,21,30,32,34.7434141953015
Cambodia,KHM,Internet users (per 100 people),IT.NET.USER.P2,0.047022640068885,0.0769560555527296,0.226983237666204,0.260570197574002,0.300436644360101,0.317321781089656,0.468356720063827,0.49,0.51,0.53,1.26,3.1,4.93986176461129
Cameroon,CMR,Internet users (per 100 people),IT.NET.USER.P2,0.252120077733662,0.277051321848797,0.360871584267755,0.587622611130454,0.976075415490902,1.40265422575955,2.0287447914719,2.93,3.4,3.84,4.3,5,5.69898724036494
Canada,CAN,Internet users (per 100 people),IT.NET.USER.P2,51.3,60.2,61.5932992681952,64.2,65.9559634648989,71.66,72.4,73.2,76.7,80.3,80.3,83,86.7658644038714
Cayman Islands,CYM,Internet users (per 100 people),IT.NET.USER.P2,,,,,,38.0343830823064,44.5,52,61,64.5,66,69.46594499,74.1265306872565
Central African Republic,CAF,Internet users (per 100 people),IT.NET.USER.P2,0.0533941742150456,0.0785434278394038,0.128537116506299,0.151563337940017,0.223401395464406,0.268195609199012,0.311159173235716,0.375815961044797,1,1.8,2,2.2,3
Chad,TCD,Internet users (per 100 people),IT.NET.USER.P2,0.03570707628555,0.0459341343557353,0.166069664674347,0.320308555366775,0.360920107034467,0.399257700084004,0.581045764229641,0.847224520710968,1.19,1.5,1.7,1.9,2.10000000005453
Channel Islands,CHI,Internet users (per 100 people),IT.NET.USER.P2,,,,,,,,,,,,,
Chile,CHL,Internet users (per 100 people),IT.NET.USER.P2,16.6,19.1,22.1,25.4737788864723,28.1779101232438,31.1753470303684,34.4977511736017,35.9,37.3,41.56,45,52.25,61.4181545577569
China,CHN,Internet users (per 100 people),IT.NET.USER.P2,1.77591320677415,2.63965021485872,4.59570433077551,6.2,7.3,8.52325700269541,10.5231526193851,16,22.6,28.9,34.3,38.3,42.3001174855995
Colombia,COL,Internet users (per 100 people),IT.NET.USER.P2,2.207532992624,2.85419997133433,4.6,7.38892371052557,9.1186903029666,11.0072638904585,15.3416745365682,21.8,25.6,30,36.5,40.4,48.9843188
Comoros,COM,Internet users (per 100 people),IT.NET.USER.P2,0.271740607285909,0.443068372538977,0.554869674985088,0.848189370151537,1.32732717785355,2,2.2,2.5,3,3.5,5.1,5.5,5.97529630842855
"Congo, Dem. Rep.",ZAR,Internet users (per 100 people),IT.NET.USER.P2,0.0059021136806903,0.0114757819210493,0.0927907024606925,0.134914837437335,0.196208375178039,0.238037798692792,0.29605361030881,0.37,0.44,0.56,0.72,1.2,1.679961014645
